date,close
2018/7/12,3.2611
2018/7/13,3.2666
2018/7/16,3.2528
2018/7/17,3.2324
2018/7/18,3.2176
2018/7/19,3.2195
2018/7/20,3.2814
2018/7/23,3.3027
2018/7/24,3.3637
2018/7/25,3.3628
2018/7/26,3.3193
2018/7/27,3.311
2018/7/30,3.2925
2018/7/31,3.3045
2018/8/1,3.2306
2018/8/2,3.1585
2018/8/3,3.1141
2018/8/6,3.0818
2018/8/7,3.1677
2018/8/8,3.1215
2018/8/9,3.1964
2018/8/10,3.2019
2018/8/13,3.1881
2018/8/14,3.1742
2018/8/15,3.0984
2018/8/16,3.0855
2018/8/17,3.0383
2018/8/20,3.0707
2018/8/21,3.1234
2018/8/22,3.1178
2018/8/23,3.1271
2018/8/24,3.1317
2018/8/27,3.2103
2018/8/28,3.201
2018/8/29,3.189
2018/8/30,3.1576
2018/8/31,3.1335
2018/9/3,3.1271
2018/9/4,3.164
2018/9/5,3.0993
2018/9/6,3.0725
2018/9/7,3.0929
2018/9/10,3.0485
2018/9/11,3.0374
2018/9/12,3.0161
2018/9/13,3.0485
2018/9/14,3.0531
2018/9/17,3.0245
2018/9/18,3.0827
2018/9/19,3.1243
2018/9/20,3.1224
2018/9/21,3.2204
2018/9/25,3.1881
2018/9/26,3.2232
2018/9/27,3.2093
2018/9/28,3.2426
2018/10/8,3.0882
2018/10/9,3.0947
2018/10/10,3.0929
2018/10/11,2.9339
2018/10/12,2.9884
2018/10/15,2.945
2018/10/16,2.9256
2018/10/17,2.9357
2018/10/18,2.871
2018/10/19,2.944
2018/10/22,3.0993
2018/10/23,2.9949
2018/10/24,2.9995
2018/10/25,3.0143
2018/10/26,2.9838
2018/10/29,2.8941
2018/10/30,2.9283
2018/10/31,2.9625
2018/11/1,2.9838
2018/11/2,3.1086
2018/11/5,3.0688
2018/11/6,3.0494
2018/11/7,3.0245
2018/11/8,3.0217
2018/11/9,2.9838
2018/11/12,3.0171
2018/11/13,3.0485
2018/11/14,3.0115
2018/11/15,3.0513
2018/11/16,3.0605
2018/11/19,3.0947
2018/11/20,3.0272
2018/11/21,3.03
2018/11/22,3.0217
2018/11/23,2.9431
2018/11/26,2.9477
2018/11/27,2.945
2018/11/28,2.9893
